type habits,prix,adresse,image_lien
Djialabé,15000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5246077_uploaded_image1_1742693298.jpg
T-shirt,2000.0,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_5248289_uploaded_image1_1742818871.jpg
Jalaba homme en coton,15000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5252041_uploaded_image1_1743008069.jpg
Jalaba homme,15000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5252052_uploaded_image1_1743008264.jpg
Sous vetement cotton 100℅ douzaine,12000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5276271_uploaded_image1_1744319968.jpg
Chemise homme,27000.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5210987_uploaded_image1_1740960866.jpg
Dialab coton ensemble taille 56 58 60 62,10000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5214576_uploaded_image1_1741111442.jpg
Dialab taille 56 58 60 62,10000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5214570_uploaded_image1_1741111198.jpg
Dialab pour homme,10000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5214586_uploaded_image1_1741111877.jpg
Dialab blanc,7000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5214602_uploaded_image1_1741112218.jpg
Ensemble homme,17000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5264516_uploaded_image1_1743722045.jpg
T-shirt unique en coton,3000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5658191_uploaded_image1_1764973421.jpg
Boxers,1000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5272210_uploaded_image1_1744125601.jpg
Sous vêtement homme,6500.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4036356_uploaded_image1_1672943814.jpg
Boubou,110000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5275497_uploaded_image1_1744293030.jpg
Vetmemt traditionel homme,20000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5232019_uploaded_image1_1741958189.jpg
Dialaba,25000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5340703_uploaded_image1_1747926660.jpg
Pantalon jeans,30000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5278626_uploaded_image1_1744464626.jpg
Lacoste  homme,7000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5235214_uploaded_image1_1742160264.jpg
Bazin Riche 3 Pièces,70000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5290090_uploaded_image2_1745148278.jpeg
Lacoste homme,7000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg
Abaya doubai,25000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5297151_uploaded_image1_1745530268.jpg
Ensemble grand boubou 3 pièces,30000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323007_uploaded_image1_1747004223.jpg
Pantalon Jean  homme,20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5325030_uploaded_image1_1747102473.jpg
Culotte cuissar,3000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5280464_uploaded_image1_1744591038.jpg
Polo Lacoste coton,6500.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5293055_uploaded_image1_1745339693.jpg
Chemises homme,10000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5715576_uploaded_image1_1768156314.jpg
Demi grand boubou homme,65000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5663290_uploaded_image1_1765273622.jpg
Ensemble homme,7500.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5749883_uploaded_image1_1769781404.jpg
Lacoste coton unique,5000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5287008_uploaded_image1_1744926363.jpg
Shorts cotton 100℅,3500.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5287002_uploaded_image1_1744926217.jpg
Polo Lacoste,6500.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5326067_uploaded_image1_1747152167.jpg
T-shirts en coton,5000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5595880_uploaded_image1_1761763593.jpg
Pantalon cargo,5000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5498127_uploaded_image1_1756460300.jpg
Jean homme,7000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5330130_uploaded_image1_1747337463.jpg
Bassin  riche  gold,6500.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5299451_uploaded_image1_1745668861.jpg
Getzner Super Manium gold original,12000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5329829_uploaded_image1_1747328462.jpg
